,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1220,98000,0,missing,1967,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Samostojna,700,Podravska, Ptuj, Ptuj
1221,595000,175,missing,1819,missing,missing,0,1979,missing,missing,missing,0,missing,missing,0,missing,missing,Dvojček,293,Obalno-kraška, Koper, Koper
1222,118000,205,missing,1950,missing,missing,0,2002,missing,missing,missing,0,"205,00 m²",EI v izdelavi,0,missing,missing,Samostojna,0,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
1223,118000,205,missing,1950,missing,missing,0,2002,missing,missing,missing,0,"205,00 m²",EI v izdelavi,0,missing,missing,Kmetija,0,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
1224,310000,0,missing,1892,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m²a),5,missing,missing,Samostojna,0,Osrednjeslovenska, Medvode, Medvode
1225,380000,0,missing,2007,missing,missing,0,0,missing,Vrt/dvorišče,missing,2,missing,missing,5,missing,missing,Dvojček,0,Obalno-kraška, Koper, Koper
1227,290000,230,missing,2010,missing,missing,0,2021,Terasa,missing,Delno opremljeno,0,"279,80 m²",missing,6,missing,missing,Samostojna,801,Podravska, Maribor okolica, Počehova
1228,280000,142,missing,2020,missing,missing,0,0,missing,missing,missing,0,"142,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",Dvojček,362,Podravska, Rače, Požeg
1229,69990,350,missing,1920,missing,missing,0,0,missing,"Vrt/dvorišče, Lopa za shranjevanje",missing,0,"390,00 m²",Ni možno izdati,10,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Maribor, Za Kalvarijo
1230,999,350,missing,1985,missing,missing,0,2005,"Balkon, Zaprt balkon, Terasa","Vrt/dvorišče, Vrtna uta, Žar",Delno opremljeno,7,missing,EI v izdelavi,6,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,700,Podravska, Maribor, Limbuš
1232,40000,35,missing,1996,missing,missing,0,2004,"Terasa, Atrij",Vrt/dvorišče,Delno opremljeno,0,"34,80 m²",F (150 - 210 kWh/m²a),1,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Ljutomer, Drakovci
1233,190000,82,missing,1980,missing,missing,0,2021,missing,Vrt/dvorišče,Popolnoma opremljeno,0,missing,missing,0,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,82,Obalno-kraška, Izola, Korte
1234,139900,130,missing,1974,missing,missing,0,0,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt",Neopremljeno,0,missing,F (150 - 210 kWh/m²a),4,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,410,Savinjska, Polzela, Polzela
1235,170000,0,missing,1938,missing,missing,0,2003,missing,missing,missing,0,"200,00 m²",missing,0,missing,missing,missing,0,Podravska, Miklavž na Dravskem polju, Dobrovce
1236,168000,0,missing,1975,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,5,missing,missing,Samostojna,0,Podravska, Hoče, Hotinja vas
1237,150000,80,missing,0,missing,missing,0,2010,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Popolnoma opremljeno,0,"140,00 m²",missing,3,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Jugovzhodna Slovenija, Ribnica, Ortnek
1238,315000,340,missing,2022,missing,missing,0,0,missing,Vrt/dvorišče,Popolnoma opremljeno,0,missing,missing,0,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,612,Goriška, Idrija, Črni Vrh nad Idrijo
1239,164500,0,missing,1990,missing,missing,0,0,missing,missing,missing,0,"160,00 m²",missing,3,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,725,Savinjska, Polzela, Ločica ob Savinji
1240,160000,146,missing,2005,missing,missing,0,0,missing,missing,missing,3,"146,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Maribor okolica, Ruperče
1241,647000,340,missing,1861,missing,missing,0,2006,missing,missing,Delno opremljeno,0,"340,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",missing,0,Obalno-kraška, Piran, Nova vas nad Dragonjo
1242,185000,212,missing,1972,missing,missing,0,0,missing,missing,missing,0,"212,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Slovenska Bistrica, Slovenska Bistrica
1243,450000,108,missing,1968,missing,missing,0,1999,missing,missing,missing,0,"108,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Dvojček,237,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
1244,194000,65,missing,1970,missing,missing,0,0,missing,missing,missing,0,missing,E (105 - 150 kWh/m²a),0,Enonadstropna,missing,Vrstna,129,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
