,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1848,339000,0,missing,1995,missing,missing,0,0,missing,missing,missing,0,missing,missing,7,missing,missing,Samostojna,0,Goriška, Ajdovščina, Ajdovščina
1849,159500,53,missing,1997,missing,missing,0,0,Terasa,missing,Neopremljeno,0,"258,45 m²",missing,0,missing,missing,Samostojna,0,Podravska, Kidričevo, Lovrenc na Dravskem polju
1850,119200,53,missing,1997,missing,missing,0,0,Terasa,missing,Neopremljeno,0,"258,45 m²",missing,0,missing,missing,Samostojna,0,Podravska, Kidričevo, Lovrenc na Dravskem polju
1852,35000,99,missing,1957,missing,missing,0,1990,missing,missing,missing,0,"99,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Poljčane, Ljubično
1853,229000,211,missing,2010,missing,missing,0,0,"Balkon, Terasa",missing,Popolnoma opremljeno,0,"340,30 m²",missing,8,missing,missing,Samostojna,0,Savinjska, Rogaška Slatina, Zgornje Negonje
1854,340000,120,missing,1955,missing,missing,0,0,missing,missing,missing,0,"120,00 m²",missing,2,missing,"Zidana hiša (beton, opeka)",Kmetija,1,Podravska, Slovenska Bistrica, Črešnjevec
1855,550000,0,missing,1930,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,C (35 - 60 kWh/m²a),8,missing,missing,Dvojček,0,Jugovzhodna Slovenija, Črnomelj, Vrhovci
1856,380000,220,missing,1957,missing,missing,0,2016,missing,missing,missing,0,"220,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,829,Osrednjeslovenska, Domžale, Škrjančevo
1857,171000,0,missing,1979,missing,missing,0,2012,missing,missing,missing,0,"154,40 m²",missing,0,missing,missing,Samostojna,0,Savinjska, Laško, Lahomno
1858,560000,250,missing,1954,missing,missing,0,0,"Balkon, Terasa",Vrt/dvorišče,Delno opremljeno,0,"250,00 m²",C (35 - 60 kWh/m²a),0,missing,missing,Dvostanovanjska,318,Osrednjeslovenska, Ljubljana Moste Polje, Moste
1859,327000,0,missing,2001,missing,missing,0,0,Balkon,missing,Delno opremljeno,0,"290,00 m²",D (60 - 105 kWh/m²a),6,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,619,Obalno-kraška, Kozina, Bač pri Materiji
1860,129000,266,missing,1965,missing,missing,0,0,missing,missing,missing,0,missing,G (250 do 1000 kWh/m²a) - HR,0,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Savinjska, Slovenske Konjice, Loče
1861,36000,0,missing,1990,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),1,missing,missing,Samostojna,0,Podravska, Juršinci, Juršinci
1862,76000,0,missing,1953,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),2,missing,missing,Samostojna,0,Podravska, Videm pri Ptuju, Videm pri Ptuju
1863,205000,0,missing,2009,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,C (35 - 60 kWh/m²a),4,missing,missing,Samostojna,0,Savinjska, Slovenske Konjice, Slovenske Konjice
1864,110000,0,missing,1850,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),1,missing,missing,Samostojna,0,Obalno-kraška, Koper, Koper
1865,999000,286,missing,1988,missing,missing,0,2010,"Balkon, Terasa",Vrt/dvorišče,Popolnoma opremljeno,6,"416,00 m²",C (35 - 60 kWh/m²a),0,missing,missing,Samostojna,726,Obalno-kraška, Izola, Izola
1866,298000,130,missing,2022,missing,missing,0,0,"Balkon, Terasa",missing,Nedokončana gradnja,0,"130,25 m²",Merjena EI,3,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,437,Osrednjeslovenska, Mengeš, Dobeno
1867,410000,159,missing,2021,missing,missing,0,0,Terasa,missing,Neopremljeno,0,"242,00 m²",EI v izdelavi,4,missing,missing,Dvojček,426,Osrednjeslovenska, Velike Lašče, Mali Ločnik
1868,180000,127,missing,1920,missing,missing,0,0,missing,missing,missing,0,"127,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,301,Osrednjeslovenska, Medvode, Medvode
1869,139000,0,missing,1850,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,5,missing,missing,Samostojna,0,Obalno-kraška, Sežana, Dutovlje
1870,348000,126,missing,1926,missing,missing,0,2013,Terasa,Vrt/dvorišče,missing,0,"140,20 m²",B2 (25 - 35 kWh/m²a),0,Enonadstropna,missing,Samostojna,610,Osrednjeslovenska, Brezovica pri Ljubljani, Žabnica
1871,416000,182,missing,2021,missing,missing,0,0,Atrij,missing,missing,3,missing,missing,0,Enonadstropna,missing,Vrstna,263,Goriška, Nova Gorica, Solkan
1872,332000,102,missing,1979,missing,missing,0,2000,"Balkon, Terasa",Vrt/dvorišče,missing,0,"137,40 m²",C (35 - 60 kWh/m²a),0,Dvonadstropna,missing,Samostojna,618,Osrednjeslovenska, Brezovica pri Ljubljani, Rakitna
1873,538000,209,missing,2022,missing,missing,0,0,"Balkon, Terasa, Atrij",Vrt/dvorišče,missing,2,"266,90 m²",missing,0,Enonadstropna,missing,Samostojna,715,Savinjska, Prebold, Latkova vas
1874,530000,209,missing,2022,missing,missing,0,0,"Balkon, Terasa, Atrij",Vrt/dvorišče,missing,2,"266,90 m²",missing,0,Enonadstropna,missing,Samostojna,689,Savinjska, Prebold, Latkova vas
1875,539000,209,missing,2022,missing,missing,0,0,"Balkon, Terasa","Vrt/dvorišče, Bazen",missing,2,"266,90 m²",missing,0,Enonadstropna,missing,Samostojna,723,Savinjska, Prebold, Latkova vas
1876,270000,201,missing,1979,missing,missing,0,2004,"Balkon, Terasa",Vrt/dvorišče,missing,0,"456,00 m²",C (35 - 60 kWh/m²a),8,missing,missing,Samostojna,557,Podravska, Maribor, Radvanje
1877,285000,140,missing,2017,missing,missing,0,0,Terasa,missing,Delno opremljeno,0,missing,missing,4,Enonadstropna,missing,Samostojna,999,Savinjska, Braslovče, Parižlje
1878,139000,166,missing,1920,missing,missing,0,1976,missing,missing,missing,0,"259,50 m²",missing,0,Visokopritlična,missing,Samostojna,0,Goriška, Bovec, Žaga
1879,399000,111,missing,2021,missing,missing,0,0,missing,missing,missing,0,"169,62 m²",missing,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,501,Osrednjeslovenska, Medvode, Zbilje
1880,850000,159,missing,1993,missing,missing,0,2013,missing,Vrt/dvorišče,missing,0,missing,missing,0,Večnadstropna,missing,Vrstna,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
1881,158800,475,missing,1880,missing,missing,0,0,missing,missing,missing,7,missing,missing,0,Večnadstropna,missing,Ostalo,593,Primorsko-notranjska, Cerknica, Rakek
1882,390000,199,missing,1990,missing,missing,0,2008,"Balkon, Atrij","Vrt/dvorišče, Žar",Popolnoma opremljeno,2,"270,23 m²",missing,0,Večnadstropna,missing,Dvojček,0,Goriška, Bovec, Plužna
1884,87000,104,missing,1975,missing,missing,0,2020,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",Delno opremljeno,0,"216,70 m²",F (150 - 210 kWh/m²a),4,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Rogašovci, Večeslavci
1886,189000,230,missing,1970,missing,missing,0,0,missing,missing,missing,0,missing,G (210+ kWh/m²a),0,missing,missing,Ostalo,994,Podravska, Maribor okolica, Kamnica
1887,197000,0,missing,1810,missing,missing,0,0,missing,missing,missing,0,missing,missing,5,missing,missing,Samostojna,0,Obalno-kraška, Sežana, Sežana
1888,140000,104,missing,1965,missing,missing,0,0,missing,missing,missing,0,missing,E (105 - 150 kWh/m²a),0,Enonadstropna,missing,Samostojna,0,Podravska, Lenart v Slovenskih goricah, Voličina
1889,389000,124,missing,2022,missing,missing,0,0,missing,missing,missing,0,missing,Ni možno izdati,0,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,250,Osrednjeslovenska, Ljubljana Moste Polje, Dobrunje
1890,39980,0,missing,1985,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m²a),2,missing,missing,missing,0,Posavska, Sevnica, Tržišče
1891,399000,350,missing,2005,missing,missing,0,2010,missing,missing,Popolnoma opremljeno,1,"350,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,537,Podravska, Maribor okolica, Počehova
1892,119000,0,missing,1978,missing,missing,0,1998,"Balkon, Terasa",missing,missing,0,"410,00 m²",missing,10,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,820,Pomurska, Beltinci, Beltinci
1893,329000,380,missing,1980,missing,missing,0,1998,missing,missing,Delno opremljeno,0,"380,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,799,Podravska, Maribor okolica, Dogoše
1894,179000,94,missing,1967,missing,missing,0,0,Balkon,missing,Delno opremljeno,0,"165,80 m²",missing,0,missing,missing,Samostojna,1,Podravska, Videm pri Ptuju, Spodnji Leskovec
1895,870000,449,missing,1901,missing,missing,0,2010,missing,Vrt/dvorišče,Popolnoma opremljeno,0,"449,00 m²",missing,0,missing,missing,Samostojna,948,Podravska, Maribor, Koroška vrata
1896,450000,700,missing,1900,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Samostojna,314,Podravska, Maribor, Center
1897,150000,100,missing,1993,missing,missing,0,0,missing,Vrt/dvorišče,Delno opremljeno,6,"100,00 m²",F (150 - 210 kWh/m²a),0,missing,missing,Samostojna,560,Podravska, Starše, Zlatoličje
1898,176000,97,missing,1972,missing,missing,0,2005,Atrij,Vrt/dvorišče,Delno opremljeno,0,"125,00 m²",D (60 - 105 kWh/m²a),0,missing,missing,Samostojna,0,Podravska, Slovenska Bistrica, Zgornja Polskava
1899,124000,95,missing,1948,missing,missing,0,0,missing,"Vrt/dvorišče, Lopa za shranjevanje",missing,0,missing,EI v izdelavi,4,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,402,Podravska, Maribor, Limbuš
1900,65000,64,missing,1975,missing,missing,0,1998,missing,missing,missing,0,"64,00 m²",G (210+ kWh/m²a),0,missing,missing,Samostojna,546,Podravska, Cirkulane, Gradišča
1901,95000,0,missing,1971,missing,missing,0,0,missing,missing,missing,0,missing,E (105 - 150 kWh/m²a),5,missing,missing,Samostojna,0,Podravska, Cirkulane, Cirkulane
1903,550000,237,missing,1940,missing,missing,0,2007,missing,missing,missing,0,missing,missing,0,Dvonadstropna,missing,Samostojna,736,Goriška, Bovec, Bovec
1904,150000,207,missing,1875,missing,missing,0,2019,missing,missing,missing,0,missing,G (210+ kWh/m²a),0,Pritlična,missing,Samostojna,0,Pomurska, Apače, Drobtinci
1905,54000,61,missing,1936,missing,missing,0,2000,missing,missing,Popolnoma opremljeno,0,"61,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Savinjska, Šmarje pri Jelšah, Babna Gora
1906,228000,0,missing,2018,missing,missing,0,0,missing,Vrt/dvorišče,missing,3,missing,C (35 - 60 kWh/m²a),4,Dvonadstropna,missing,missing,0,Podravska, Maribor, Tezno
1908,560000,250,missing,1954,missing,missing,0,0,"Balkon, Terasa",Vrt/dvorišče,Delno opremljeno,0,"250,00 m²",C (35 - 60 kWh/m²a),0,missing,missing,Dvostanovanjska,318,Osrednjeslovenska, Ljubljana Moste Polje, Moste
1909,350000,190,missing,1969,missing,missing,0,2007,Balkon,missing,Delno opremljeno,0,missing,missing,5,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,433,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
1910,639000,240,missing,0,missing,missing,0,0,"Balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar, Bazen",Popolnoma opremljeno,5,missing,missing,4,Dvonadstropna,missing,Vrstna,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik
1911,680000,0,missing,2021,missing,missing,0,0,"Balkon, Terasa, Atrij",missing,missing,6,"250,00 m²",missing,4,Večnadstropna,missing,Samostojna,572,Osrednjeslovenska, Brezovica pri Ljubljani, Brezovica pri Ljubljani
1912,590000,765,missing,2012,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Ostalo,0,Podravska, Poljčane, Poljčane
1914,250000,0,missing,1991,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,6,missing,missing,Samostojna,0,Koroška, Dravograd, Dravograd
1915,80000,93,missing,1800,missing,missing,0,1960,missing,missing,missing,0,"93,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",Samostojna,309,Goriška, Ajdovščina, Šmarje
1916,155000,0,missing,2022,missing,missing,0,0,missing,missing,missing,0,"110,00 m²",Ni možno izdati,0,missing,missing,Dvojček,371,Savinjska, Prebold, Sv. Lovrenc
1917,175000,107,missing,1964,missing,missing,0,2006,missing,missing,missing,0,"107,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Duplek, Zgornja Korena
1918,190000,0,missing,2021,missing,missing,0,0,missing,missing,missing,0,missing,missing,7,missing,missing,Samostojna,0,Podravska, Dornava, Dornava
1919,145000,214,missing,2000,missing,missing,0,2015,"Balkon, Terasa",Vrt/dvorišče,Neopremljeno,4,"175,08 m²",C (35 - 60 kWh/m²a),2,missing,missing,Samostojna,0,Podravska, Cirkulane, Meje
1920,55000,93,missing,1997,missing,missing,0,0,missing,missing,missing,0,"93,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Podlehnik, Sedlašek
1921,150000,0,missing,1920,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m²a),8,missing,missing,Samostojna,0,Goriška, Nova Gorica, Nova Gorica
1922,378000,143,missing,1939,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,156,Obalno-kraška, Izola, Izola
1923,69000,94,missing,1986,missing,missing,0,0,"Balkon, Terasa",Vrt/dvorišče,Delno opremljeno,0,missing,G (210+ kWh/m²a),2,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,953,Pomurska, Ljutomer, Drakovci
1925,565000,0,missing,1980,missing,missing,0,2001,"Balkon, Terasa",missing,Popolnoma opremljeno,7,"570,40 m²",missing,0,missing,missing,Samostojna,0,Podravska, Ruše, Ruše
1926,580000,110,missing,1990,missing,missing,0,2018,missing,missing,Popolnoma opremljeno,0,"110,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",missing,0,Obalno-kraška, Koper, Koper
1927,275000,166,missing,2022,missing,missing,0,0,missing,missing,missing,0,"166,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",missing,0,Podravska, Ptuj, Ptuj
1928,275000,161,missing,2022,missing,missing,0,0,missing,missing,missing,0,"161,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",missing,0,Podravska, Ptuj, Ptuj
1929,275000,161,missing,2022,missing,missing,0,0,missing,missing,missing,0,"161,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",missing,0,Podravska, Ptuj, Ptuj
1930,430000,375,missing,2005,missing,missing,0,2015,Balkon,missing,Popolnoma opremljeno,0,missing,C (35 - 60 kWh/m²a),6,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,536,Podravska, Maribor okolica, Počehova
1931,400000,183,missing,1977,missing,missing,0,2007,missing,missing,missing,0,"183,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",Samostojna,400,Podravska, Maribor, Radvanje
1932,199900,0,missing,1962,missing,missing,0,0,missing,missing,Potrebno obnove,0,"263,40 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,Samostojna,0,Pomurska, Gornja Radgona, Lomanoše
1933,299000,0,missing,2000,missing,missing,0,0,missing,missing,missing,0,missing,missing,6,missing,missing,Samostojna,0,Gorenjska, Radovljica, Brda
1934,215000,0,missing,1924,missing,missing,0,0,missing,missing,missing,0,missing,missing,6,Dvonadstropna,missing,Samostojna,0,Obalno-kraška, Koper, Ankaran
1935,290000,129,missing,2022,missing,missing,0,0,missing,missing,missing,0,"129,11 m²",missing,0,missing,missing,Dvojček,0,Podravska, Maribor okolica, Kamnica
1936,550000,0,missing,1971,missing,missing,0,0,missing,"Vrtna uta, Lopa za shranjevanje",missing,0,missing,C (35 - 60 kWh/m²a),10,Dvonadstropna,missing,Samostojna,0,Savinjska, Žalec, Žalec
1937,169000,0,missing,1978,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,5,Dvonadstropna,missing,Samostojna,0,Podravska, Ptuj, Ptuj
1938,49000,0,missing,1930,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),2,missing,missing,Samostojna,0,Primorsko-notranjska, Ilirska Bistrica, Ilirska Bistrica
1939,145000,142,missing,1900,missing,missing,0,1990,missing,missing,missing,0,"142,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,720,Obalno-kraška, Koper, Pregara
1940,200000,80,missing,1927,missing,missing,0,0,missing,missing,missing,0,"80,00 m²",G (210+ kWh/m²a),10,missing,missing,Ostalo,0,Goriška, Brda, Vedrijan
1941,850000,0,missing,1910,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,"192,50 m²",F (150 - 210 kWh/m²a),0,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,908,Podravska, Maribor, Center
1942,175000,120,missing,1965,missing,missing,0,0,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",missing,0,missing,EI v izdelavi,4,missing,missing,Samostojna,0,Podravska, Ptuj, Ptuj
1943,320000,259,missing,1987,missing,missing,0,0,missing,missing,missing,0,"259,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,582,Obalno-kraška, Koper, Sv. Anton
1944,87000,110,missing,1911,missing,missing,0,1997,missing,missing,missing,0,"110,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Primorsko-notranjska, Ilirska Bistrica, Dolnja Bitnja
1945,1124,756,missing,1989,missing,missing,0,0,missing,missing,Delno opremljeno,1,"756,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Savinjska, Celje, Celje
1946,115000,200,missing,2004,missing,missing,0,0,missing,missing,missing,0,missing,Ni možno izdati,7,missing,missing,Samostojna,0,Osrednjeslovenska, Šmartno pri Litiji, Sevno
1947,125000,0,missing,1973,missing,missing,0,0,missing,missing,missing,0,"128,00 m²",missing,0,missing,missing,Samostojna,0,Osrednjeslovenska, Medvode, Trnovec
1948,547000,129,missing,1998,missing,missing,0,2021,missing,missing,Popolnoma opremljeno,0,"129,00 m²",missing,3,missing,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,Obalno-kraška, Koper, Zgornje Škofije
1949,270000,93,missing,1908,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Vrstna,0,Obalno-kraška, Koper, Krkavče
1950,390000,168,missing,2014,missing,missing,0,0,missing,missing,missing,0,"168,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Dvostanovanjska,340,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
1951,195000,0,missing,2010,missing,missing,0,0,Balkon,missing,missing,0,"159,00 m²",EI v izdelavi,6,missing,missing,Samostojna,150,Savinjska, Slovenske Konjice, Slovenske Konjice
1952,249000,0,missing,1986,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,7,missing,missing,Samostojna,0,Koroška, Ravne na Koroškem, Ravne na Koroškem
1953,250000,227,missing,2002,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,"Zidana hiša (beton, opeka)",Dvojček,0,Savinjska, Slovenske Konjice, Slovenske Konjice
1954,859000,295,missing,2005,missing,missing,0,0,missing,missing,Popolnoma opremljeno,2,"295,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Posavska, Brežice, Sela pri Dobovi
1955,269000,0,missing,2015,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,C (35 - 60 kWh/m²a),6,missing,missing,Samostojna,0,Podravska, Majšperk, Majšperk
1956,180000,130,missing,1972,missing,missing,0,0,missing,missing,missing,0,"149,50 m²",missing,0,missing,missing,Samostojna,537,Gorenjska, Cerklje na Gorenjskem, Pšata
1957,99900,178,missing,1967,missing,missing,0,1980,missing,missing,missing,3,"178,00 m²",missing,3,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Sveti Jurij v Slovenskih goricah, Malna
1958,230000,0,missing,1984,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,G (210+ kWh/m²a),4,missing,missing,Samostojna,0,Podravska, Hoče, Hotinja vas
1959,900000,750,missing,2021,missing,missing,0,0,"Balkon, Terasa",missing,Neopremljeno,2,"750,00 m²",missing,0,missing,missing,Vrstna,0,Savinjska, Rogaška Slatina, Rogaška Slatina
1960,69000,70,missing,1900,missing,missing,0,2006,missing,Vrt/dvorišče,Neopremljeno,0,"140,00 m²",missing,0,missing,missing,Dvostanovanjska,530,Savinjska, Rogatec, Rogatec
1961,749000,756,missing,1991,missing,missing,0,0,Terasa,Bazen,Delno opremljeno,0,"756,00 m²",C (35 - 60 kWh/m²a),0,missing,missing,Samostojna,0,Savinjska, Celje, Prekorje
1962,430000,0,missing,2002,missing,missing,0,2014,Terasa,"Vrt/dvorišče, Žar",Popolnoma opremljeno,2,"276,00 m²",C (35 - 60 kWh/m²a),6,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,804,Podravska, Hoče, Slivnica pri Mariboru
1963,770000,257,missing,1982,missing,missing,0,2013,missing,missing,missing,0,"257,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,621,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
1964,99000,0,missing,1996,missing,missing,0,2013,missing,missing,Delno opremljeno,0,"54,00 m²",missing,3,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Razkrižje, Gibina
1965,84500,0,missing,1999,missing,missing,0,0,missing,missing,missing,0,missing,G (210+ kWh/m²a),4,missing,missing,Samostojna,0,Savinjska, Rogaška Slatina, Rogaška Slatina
1966,240000,310,missing,1995,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Samostojna,0,Savinjska, Celje, Trnovlje pri Celju
1967,65000,0,missing,2012,missing,missing,0,0,missing,missing,missing,0,missing,missing,6,missing,missing,Samostojna,0,Pomurska, Lendava, Lendava
1968,80000,0,missing,1990,missing,missing,0,0,missing,missing,missing,0,missing,missing,4,missing,missing,Samostojna,0,Pomurska, Lendava, Lendava
1969,50000,0,missing,1900,missing,missing,0,0,missing,missing,missing,0,missing,G (210+ kWh/m²a),2,missing,missing,Samostojna,0,Savinjska, Slovenske Konjice, Slovenske Konjice
1970,79800,0,missing,2016,missing,missing,0,0,missing,missing,missing,0,"2.500,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Markovci, Markovci
1971,695000,200,missing,2005,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,206,Obalno-kraška, Koper, Koper
1972,118000,188,missing,1953,missing,missing,0,2010,"Terasa, Atrij",Vrt/dvorišče,Delno opremljeno,4,"184,50 m²",D (60 - 105 kWh/m²a),2,Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,376,Podravska, Starše, Marjeta na Dravskem polju
1973,890000,376,missing,1996,missing,missing,0,2008,missing,"Vrt/dvorišče, Bazen",missing,0,missing,missing,0,missing,missing,Vrstna,618,Osrednjeslovenska, Ljubljana Bežigrad, Črnuče
1974,610000,207,missing,2003,missing,missing,0,0,missing,missing,missing,0,"207,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Obalno-kraška, Izola, Šared
1975,129000,0,missing,2005,missing,missing,0,0,missing,missing,Potrebno obnove,0,"127,60 m²",missing,0,missing,missing,Samostojna,493,Pomurska, Murska Sobota, Murska Sobota
1976,95000,120,missing,1895,missing,missing,0,2019,missing,missing,missing,0,missing,D (60 - 105 kWh/m²a),5,missing,missing,Samostojna,0,Jugovzhodna Slovenija, Kočevje, Kočevje
1977,105000,145,missing,1900,missing,missing,0,0,missing,missing,missing,0,"145,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,172,Obalno-kraška, Koper, Sv. Anton
1978,433000,305,missing,1967,missing,missing,0,2021,"Balkon, Loža",missing,Delno opremljeno,4,"305,00 m²",D (60 - 105 kWh/m²a),9,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,422,Osrednjeslovenska, Mengeš, Mengeš
1979,580000,262,missing,1955,missing,missing,0,2021,missing,missing,missing,0,"262,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Obalno-kraška, Koper, Premančan
1980,297100,164,missing,2020,missing,missing,0,0,missing,missing,missing,0,"164,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",missing,0,Podravska, Ptuj, Ptuj
1981,685000,263,missing,1982,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Koper, Ankaran
1982,695000,183,missing,2005,missing,missing,0,2013,missing,missing,Delno opremljeno,1,"183,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",missing,206,Obalno-kraška, Koper, Koper
1983,219000,0,missing,1955,missing,missing,0,0,missing,missing,missing,0,missing,missing,5,missing,missing,Samostojna,0,Podravska, Ptuj, Ptuj
1984,64000,67,missing,1930,missing,missing,0,1970,missing,missing,Popolnoma opremljeno,0,missing,G (210+ kWh/m²a),3,Pritlična,missing,Samostojna,328,Podravska, Hajdina, Skorba
1985,637000,535,missing,2011,missing,missing,0,0,missing,missing,missing,1,"535,00 m²",missing,5,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Gorenjska, Tržič, Zgornje Vetrno
1986,156000,0,missing,1800,missing,missing,0,0,missing,missing,missing,0,missing,missing,8,missing,missing,Samostojna,0,Goriška, Tolmin, Tolmin
1987,433000,305,missing,1967,missing,missing,0,2021,"Balkon, Terasa",missing,Delno opremljeno,4,"305,00 m²",missing,9,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,422,Osrednjeslovenska, Mengeš, Mengeš
1988,179500,202,missing,1998,missing,missing,0,0,"Balkon, Terasa",missing,Popolnoma opremljeno,1,"344,00 m²",C (35 - 60 kWh/m²a),7,missing,missing,Samostojna,427,Pomurska, Murska Sobota, Murska Sobota
1990,290000,0,missing,2017,missing,missing,0,0,Balkon,missing,Popolnoma opremljeno,0,"70,00 m²",EI v izdelavi,0,Enonadstropna,missing,Samostojna,523,Savinjska, Bistrica ob Sotli, Srebrnik
1991,93900,80,missing,1952,missing,missing,0,0,missing,missing,missing,0,missing,G (210+ kWh/m²a),0,Enonadstropna,missing,Samostojna,0,Podravska, Maribor, Bresternica
1992,35000,0,missing,1978,missing,missing,0,0,missing,missing,missing,0,missing,missing,1,Enonadstropna,missing,missing,0,Savinjska, Šentjur, Šentjur
1994,680000,109,missing,1995,missing,missing,0,2016,Balkon,Vrt/dvorišče,Delno opremljeno,0,"340,00 m²",D (60 - 105 kWh/m²a),0,missing,missing,Samostojna,0,Savinjska, Zreče, Križevec
1995,500000,0,missing,1870,missing,missing,0,2004,Terasa,missing,Delno opremljeno,0,"78,00 m²",EI v izdelavi,0,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Jugovzhodna Slovenija, Trebnje, Zidani Most
