,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,Furniture,ParkingSpots,EnergyClass,Region,District,Neighborhood
560,269000,79,3-sobno,1978,V večstanovanjski stavbi,,10,2005,Balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,EI v izdelavi,Osrednjeslovenska, Ljubljana Šiška, Dravlje
561,182000,74,3-sobno,1976,V večstanovanjski stavbi,5.,12,2017,,,,C (35 - 60 kWh/m2a),Savinjska, Celje, Lava
562,397000,130,Garsonjera,1900,V večstanovanjski stavbi,,5,1994,,Delno opremljeno,,,Obalno-kraška, Piran, Piran
563,360000,0,6 in večsobno,1895,,,0,0,,,,EI ni potrebna (334. člen EZ-1),Podravska, Maribor, Melje
564,125000,0,2-sobno,1975,,,0,0,,,,EI ni potrebna (334. člen EZ-1),Podravska, Maribor, Tabor
565,219000,0,2-sobno,1987,,,1,0,,,2,C (35 - 60 kWh/m2a),Obalno-kraška, Koper, Koper
566,448000,0,6 in večsobno,2006,,,2,0,,,2,C (35 - 60 kWh/m2a),Osrednjeslovenska, Grosuplje, Grosuplje
567,97000,20,Garsonjera,1965,V večstanovanjski stavbi,13.,13,2017,Balkon,,,D (60 - 105 kWh/m2a),Osrednjeslovenska, Ljubljana Moste Polje, Moste
568,161983,46,1-sobno,2023,,Pritličje,2,0,"Terasa, Atrij",,,,Savinjska, Celje, Celje
569,173808,56,2-sobno,2023,V večstanovanjski stavbi,2.,2,0,Balkon,,,,Savinjska, Celje, Celje
570,257203,84,3-sobno,2023,V večstanovanjski stavbi,1.,2,0,Balkon,,,,Savinjska, Celje, Celje
571,123055,37,1-sobno,2023,V večstanovanjski stavbi,Pritličje,2,0,"Terasa, Loža, Atrij",,,,Savinjska, Celje, Celje
572,204638,55,2-sobno,2023,V večstanovanjski stavbi,Pritličje,2,0,"Terasa, Loža, Atrij",Neopremljeno,,,Savinjska, Celje, Celje
573,129800,33,Garsonjera,1975,,Klet,0,0,,,,E (105 - 150 kWh/m2a),Osrednjeslovenska, Ljubljana Moste Polje, Zalog
574,298856,73,3-sobno,2023,V večstanovanjski stavbi,2.,3,0,Balkon,,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
575,298856,73,3-sobno,2023,V večstanovanjski stavbi,2.,3,0,Balkon,,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
576,297625,73,3-sobno,2023,V večstanovanjski stavbi,1.,3,0,Balkon,,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
577,297625,73,3-sobno,2023,V večstanovanjski stavbi,1.,3,0,Balkon,,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
578,258598,59,2-sobno,2023,V večstanovanjski stavbi,1.,3,0,Balkon,Delno opremljeno,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
579,259598,59,2-sobno,2023,V večstanovanjski stavbi,1.,3,0,Balkon,Delno opremljeno,2,,Osrednjeslovenska, Grosuplje, Šmarje - Sap
580,383000,111,4-sobno,2006,V večstanovanjski stavbi,,4,2018,Terasa,Popolnoma opremljeno,brez pripadajočega parkirišča,C (35 - 60 kWh/m2a),Osrednjeslovenska, Kamnik, Kamnik
581,149000,78,2-sobno,1981,,1.,5,2012,,Delno opremljeno,,C (35 - 60 kWh/m2a),Podravska, Maribor, Betnava
582,233000,0,2-sobno,2005,,,0,0,,,,E (105 - 150 kWh/m2a),Podravska, Maribor, Center
583,249403,0,4-sobno,2022,,,3,0,,,,,Savinjska, Slovenske Konjice, Slovenske Konjice
585,198842,0,3-sobno,2022,,,0,0,,,,,Savinjska, Slovenske Konjice, Slovenske Konjice
586,378954,0,5-sobno,2022,,,3,0,,,,EI ni potrebna (334. člen EZ-1),Savinjska, Slovenske Konjice, Slovenske Konjice
587,263000,54,2-sobno,1970,V večstanovanjski stavbi,3.,3,2015,Balkon,Delno opremljeno,,C (35 - 60 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
588,149900,73,3-sobno,1945,,,0,2010,,,,D (60 - 105 kWh/m2a),Podravska, Maribor, Center
589,180000,38,2-sobno,1908,,,2,2022,,,brez pripadajočega parkirišča,,Osrednjeslovenska, Ljubljana Šiška, Šiška
590,238000,50,2-sobno,1908,,,2,2022,,,brez pripadajočega parkirišča,,Osrednjeslovenska, Ljubljana Šiška, Šiška
591,225000,0,3-sobno,1900,,3.,3,0,,,,Ni možno izdati,Podravska, Maribor, Center
593,315000,347,,1975,V večstanovanjski stavbi,,0,0,,,,,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
594,169000,104,4-sobno,1801,V večstanovanjski stavbi,,3,2020,Balkon,Delno opremljeno,brez pripadajočega parkirišča,EI v izdelavi,Koroška, Slovenj Gradec, Slovenj Gradec
595,166867,96,2-sobno,0,V večstanovanjski stavbi,,3,0,,,brez pripadajočega parkirišča,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
596,182463,76,3-sobno,0,V večstanovanjski stavbi,,3,0,,,brez pripadajočega parkirišča,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
597,339000,0,5-sobno,1970,,,0,0,,,,D (60 - 105 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Vižmarje
598,285000,67,3-sobno,1980,V večstanovanjski stavbi,3.,6,0,,Popolnoma opremljeno,brez pripadajočega parkirišča,,Obalno-kraška, Piran, Lucija
600,149900,84,3-sobno,1900,V večstanovanjski stavbi,Visoko pritličje,2,2010,,,,E (105 - 150 kWh/m2a),Savinjska, Celje, Center
601,275000,109,3-sobno,1954,V večstanovanjski stavbi,2.,2,2011,Balkon,Neopremljeno,,,Osrednjeslovenska, Ljubljana Moste Polje, Vevče
602,176900,84,3-sobno,1987,V večstanovanjski stavbi,2.,4,2010,"Balkon, Terasa, Loža",Popolnoma opremljeno,,C (35 - 60 kWh/m2a),Savinjska, Celje, Celje
603,79000,0,3-sobno,1966,,Pritličje,0,0,,,,D (60 - 105 kWh/m2a),Podravska, Šentilj v Slovenskih goricah, Zgornja Velka
604,265000,0,3-sobno,1981,,,0,0,,,,C (35 - 60 kWh/m2a),Osrednjeslovenska, Ljubljana Center, Stara Ljubljana
605,419000,0,3-sobno,2021,,,2,0,,,,B2 (25 - 35 kWh/m2a),Obalno-kraška, Koper, Koper
606,138000,82,3-sobno,1959,V večstanovanjski stavbi,Visoko pritličje,3,2000,Balkon,,,,Savinjska, Celje, Center
607,129000,30,Garsonjera,0,,Klet,0,2021,,,,D (60 - 105 kWh/m2a),Gorenjska, Kranjska Gora, Kranjska Gora
608,169680,57,2-sobno,0,V večstanovanjski stavbi,,3,0,Atrij,,brez pripadajočega parkirišča,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
609,115000,124,"4,5-sobno",1946,,,0,2000,,,,,Savinjska, Vojnik, Arclin
610,166235,0,2-sobno,2023,,,0,0,,,1,B1 (15 - 25 kWh/m2a),Osrednjeslovenska, Grosuplje, Šmarje - Sap
611,330000,79,3-sobno,1977,V večstanovanjski stavbi,4.,0,2004,,Popolnoma opremljeno,brez pripadajočega parkirišča,,Osrednjeslovenska, Ljubljana Šiška, Dravlje
612,150000,66,2-sobno,1971,V večstanovanjski stavbi,3.,5,2005,,Delno opremljeno,brez pripadajočega parkirišča,,Podravska, Maribor, Tabor
613,399000,85,3-sobno,1910,V večstanovanjski stavbi,Pritličje,4,2019,,Popolnoma opremljeno,,E (105 - 150 kWh/m2a),Osrednjeslovenska, Ljubljana Center, Center
614,165189,69,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
615,133686,56,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
616,165189,69,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
617,154814,69,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
618,154815,69,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
619,154814,69,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
620,169679,104,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
621,185804,112,3-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
622,166866,96,2-sobno,2023,,,0,0,,,,,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
623,264000,91,2-sobno,2008,V večstanovanjski stavbi,7.,7,2015,,Popolnoma opremljeno,brez pripadajočega parkirišča,,Podravska, Maribor, Tabor
624,179900,34,1-sobno,1971,V večstanovanjski stavbi,Pritličje,0,2021,,Popolnoma opremljeno,,,Osrednjeslovenska, Ljubljana Šiška, Šiška
625,194000,40,"1,5-sobno",1895,,,0,2016,,,,,Osrednjeslovenska, Ljubljana Šiška, Šiška
626,139000,0,4-sobno,1978,,,4,0,,,,,Podravska, Ptuj, Ptuj
