,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
23,360000,282,5,0,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,970,2005,,4,"Balkon, Zaprt balkon","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",D (60 - 105 kWh/m²a),Podravska, Maribor, Studenci
24,262000,427,7,2007,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,1,2007,Popolnoma opremljeno,7+,"Zaprt balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar",E (105 - 150 kWh/m²a),Podravska, Zavrč, Korenjak
26,259000,0,5,1950,Dvonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,G (210+ kWh/m²a),Obalno-kraška, Koper, Škofije
27,159000,0,6,1800,Večnadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,Ni možno izdati,Obalno-kraška, Koper, Črni Kal
29,32000,153,,1965,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Podlehnik, Zgornje Gruškovje
32,60000,120,5,1985,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,1995,Delno opremljeno,,"Balkon, Zaprt balkon","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",,Jugovzhodna Slovenija, Škocjan, Dolenje Radulje
34,399800,297,5,1988,Večnadstropna,,Samostojna,580,0,,,"Balkon, Terasa, Atrij",Vrt/dvorišče,D (60 - 105 kWh/m²a),Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
35,210000,100,,1905,,,,0,2020,,,Terasa,,,Obalno-kraška, Koper, Glem
36,219000,223,,1985,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,380,0,,,Atrij,,E (105 - 150 kWh/m²a),Podravska, Ruše, Ruše
38,270000,127,4,1977,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,528,2000,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Žar",E (151 do 200 kWh/m²a) - HR,Gorenjska, Preddvor, Bašelj
40,99000,179,,1979,,,,0,1990,,,,,F (150 - 210 kWh/m²a),Pomurska, Beltinci, Dokležovje
41,246000,108,2,1964,,,Samostojna,314,2015,Delno opremljeno,3,Terasa,Vrt/dvorišče,,Osrednjeslovenska, Ljubljana Bežigrad, Črnuče
42,66000,35,3,1850,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,1980,Potrebno obnove,2,Balkon,,,Savinjska, Kozje, Podsreda
43,320000,100,5,1967,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,395,1999,Delno opremljeno,,"Balkon, Terasa",Vrtna uta,F (150 - 210 kWh/m²a),Gorenjska, Kranj, Kranj
44,360000,129,4,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,341,2022,Neopremljeno,2,Terasa,Vrt/dvorišče,A1 (0 - 10 kWh/m²a),Podravska, Maribor, Studenci
45,397000,140,5,1987,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,602,0,,,"Balkon, Terasa",Vrt/dvorišče,,Gorenjska, Cerklje na Gorenjskem, Cerklje na Gorenjskem
46,120000,190,7,1965,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2016,Delno opremljeno,3,,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Pomurska, Murska Sobota, Murska Sobota
47,148000,80,3,1977,Visokopritlična,,Samostojna,0,0,,,"Balkon, Terasa, Loža","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar, Bazen",EI v izdelavi,Osrednjeslovenska, Polhov Gradec, Selo nad Polhovim Gradcem
48,175000,0,,1988,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Primorsko-notranjska, Pivka, Parje
