,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
459,253000,86,,1770,,"Zidana hiša (beton, opeka)",Samostojna,0,1982,,,,,,Jugovzhodna Slovenija, Šmarješke Toplice, Šmarješke Toplice
460,60000,112,,1850,,"Zidana hiša (beton, opeka)",Kmetija,0,1985,Delno opremljeno,1,,,,Pomurska, Ljutomer, Radomerščak
461,169000,0,6,1999,,,Samostojna,0,0,,,,,,Podravska, Ormož, Ormož
462,255000,156,5,1964,,,Samostojna,0,2007,Popolnoma opremljeno,3,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Savinjska, Šmartno ob Paki, Gavce
463,109000,116,,1963,,,Samostojna,0,0,,,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
464,64900,103,4,1880,,,Samostojna,0,1960,,,,Vrt/dvorišče,,Podravska, Središče ob Dravi, Središče ob Dravi
466,450000,225,7,1980,,,Samostojna,0,2014,Popolnoma opremljeno,3,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Koroška, Slovenj Gradec, Slovenj Gradec
467,250000,127,,2002,,"Zidana hiša (beton, opeka)",Samostojna,0,2019,Popolnoma opremljeno,,,,,Savinjska, Šentjur, Dobovec pri Ponikvi
468,150000,165,3,1985,,"Zidana hiša (beton, opeka)",Samostojna,873,2009,,,,,,Podravska, Hajdina, Hajdina
469,129150,155,4,1965,Pritlična,,Samostojna,0,1995,Delno opremljeno,,,,,Podravska, Trnovska vas, Trnovski Vrh
470,67900,100,3,1966,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,998,2002,,,,,,Pomurska, Lendava, Dolnji Lakoš
471,165000,105,5,1976,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,753,2004,Neopremljeno,3,Balkon,Vrt/dvorišče,E (105 - 150 kWh/m²a),Podravska, Maribor, Bresternica
472,235000,157,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,643,0,,,,,,Savinjska, Slovenske Konjice, Slovenske Konjice
473,120000,100,,1988,,,Samostojna,961,2010,,,,,,Podravska, Rače, Morje
474,118000,167,,1953,,,Samostojna,376,2015,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Starše, Prepolje
475,255000,309,6,2001,Dvonadstropna,,Samostojna,779,0,Popolnoma opremljeno,,"Balkon, Terasa",,,Podravska, Kungota, Zgornja Kungota
476,139000,137,4,1970,,"Zidana hiša (beton, opeka)",Samostojna,371,0,,,,,,Podravska, Maribor, Studenci
477,144900,0,4,1990,Dvonadstropna,,Samostojna,0,0,,2,,,F (150 - 210 kWh/m²a),Pomurska, Lendava, Lendava
478,230000,0,8,1972,,,Samostojna,0,0,,,,Vrt/dvorišče,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
479,39990,0,2,1800,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Podčetrtek, Podčetrtek
480,129900,0,4,2022,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Rogaška Slatina, Rogaška Slatina
481,399000,0,5,1953,,,Samostojna,0,0,,,,Vrt/dvorišče,,Osrednjeslovenska, Domžale, Domžale
482,139000,120,,1987,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,,"Vrt/dvorišče, Bazen",E (105 - 150 kWh/m²a),Podravska, Ptuj, Kicar
483,147825,118,,2022,,"Zidana hiša (beton, opeka)",Dvojček,384,0,,,,,,Podravska, Hajdina, Hajdoše
484,130000,0,3,1970,,,Samostojna,0,0,,2,,,G (210+ kWh/m²a),Gorenjska, Jesenice, Jesenice
485,229987,147,4,0,,,Samostojna,585,0,Neopremljeno,brez pripadajočega parkirišča,Terasa,Vrt/dvorišče,,Pomurska, Gornja Radgona, Gornja Radgona
487,175000,333,8,2006,,,Dvojček,0,0,Delno opremljeno,,Terasa,Vrt/dvorišče,C (35 - 60 kWh/m²a),Pomurska, Moravske Toplice, Vučja Gomila
488,250000,259,5,1985,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,931,2018,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Podravska, Hoče, Zgornje Hoče
489,295000,186,,2022,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Trebnje, Kamni Potok
490,249990,138,4,2022,,,Atrijska,613,0,,brez pripadajočega parkirišča,,,,Podravska, Šentilj v Slovenskih goricah, Kresnica
492,229990,107,3,2022,,,Dvojček,0,0,,brez pripadajočega parkirišča,,,,Podravska, Šentilj v Slovenskih goricah, Kresnica
493,209990,107,3,2022,,,Dvojček,0,0,,brez pripadajočega parkirišča,,,,Podravska, Šentilj v Slovenskih goricah, Kresnica
494,95000,101,,1990,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Destrnik, Dolič
495,395000,242,,1972,,,Samostojna,773,0,,,,,F (150 - 210 kWh/m²a),Osrednjeslovenska, Ljubljana Moste Polje, Dobrunje
496,44900,42,,1886,,,Samostojna,0,0,,,,,,Podravska, Podlehnik, Jablovec
497,119000,63,3,1958,,,Samostojna,959,2005,Popolnoma opremljeno,brez pripadajočega parkirišča,Balkon,,,Podravska, Hoče, Zgornje Hoče
498,295000,400,10+,1963,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,703,2008,,,,,G (210+ kWh/m²a),Savinjska, Prebold, Prebold
499,170000,126,10+,1800,,,Ostalo,0,0,,,,,E (105 - 150 kWh/m²a),Goriška, Tolmin, Slap ob Idrijci
500,215000,166,3,1955,,"Zidana hiša (beton, opeka)",Samostojna,0,2013,Popolnoma opremljeno,2,,,,Savinjska, Slovenske Konjice, Žiče
501,87000,127,4,1988,,"Zidana hiša (beton, opeka)",Samostojna,0,2019,Popolnoma opremljeno,2,,,,Pomurska, Puconci, Vaneča
502,139900,220,3,1850,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,400,2010,Delno opremljeno,,Balkon,,EI v izdelavi,Osrednjeslovenska, Velike Lašče, Gradež
504,160000,176,7,1995,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2022,,,Balkon,"Vrt/dvorišče, Zimski vrt, Vrtna uta",D (60 - 105 kWh/m²a),Podravska, Ptuj, Kicar
505,439000,146,4,2008,Enonadstropna,,Vrstna,213,0,Popolnoma opremljeno,2,"Balkon, Terasa, Atrij","Vrt/dvorišče, Bazen",,Osrednjeslovenska, Škofljica, Škofljica
506,289000,90,3,1965,Pritlična,"Zidana hiša (beton, opeka)",Vrstna,486,2011,Delno opremljeno,3,,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",D (60 - 105 kWh/m²a),Osrednjeslovenska, Kamnik, Kamnik
507,290000,191,5,1955,,"Zidana hiša (beton, opeka)",,267,1997,,1,,,,Obalno-kraška, Koper, Čežarji
508,250000,154,7,1977,,,Samostojna,779,2015,Popolnoma opremljeno,4,"Balkon, Terasa",,D (60 - 105 kWh/m²a),Savinjska, Laško, Laško
509,43000,57,,1980,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Videm pri Ptuju, Strmec pri Leskovcu
512,157000,170,,1986,Dvonadstropna,,Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Šmarješke Toplice, Šmarješke Toplice
514,209900,145,6,1967,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,477,2005,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",E (151 do 200 kWh/m²a) - HR,Savinjska, Žalec, Šempeter v Savinjski dolini
516,288000,195,4,2015,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,806,0,,3,,,,Osrednjeslovenska, Medvode, Sora
517,288000,195,4,2015,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,806,0,,3,,,,Osrednjeslovenska, Medvode, Sora
518,149000,168,,2005,,,Samostojna,916,2007,,,,,D (60 - 105 kWh/m²a),Savinjska, Štore, Svetina
519,490000,121,,1900,,,Samostojna,0,1997,,,,,,Savinjska, Vransko, Ločica pri Vranskem
520,170000,0,6,1979,,,,0,0,,,,,E (105 - 150 kWh/m²a),Goriška, Nova Gorica, Nova Gorica
521,198000,191,7,1906,,,Samostojna,0,1998,Delno opremljeno,7+,Terasa,Vrt/dvorišče,D (60 - 105 kWh/m²a),Pomurska, Križevci, Iljaševci
522,185000,164,,1986,,,Samostojna,615,2020,,,,,E (105 - 150 kWh/m²a),Podravska, Hoče, Radizel
523,289000,291,8,1985,,,Samostojna,0,2017,Popolnoma opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Koroška, Dravograd, Dravograd
524,397000,130,5,1900,,"Zidana hiša (beton, opeka)",,0,1994,Delno opremljeno,,,,,Obalno-kraška, Piran, Piran
527,299000,419,,1998,,"Zidana hiša (beton, opeka)",Dvojček,0,2018,,,,,,Podravska, Maribor okolica, Pekel
528,69990,60,,1900,,"Zidana hiša (beton, opeka)",Samostojna,0,1960,,2,,,,Podravska, Lenart v Slovenskih goricah, Spodnji Žerjavci
529,110000,104,,1965,Enonadstropna,,Samostojna,0,0,,,,,E (105 - 150 kWh/m²a),Podravska, Lenart v Slovenskih goricah, Voličina
530,137000,70,,1960,,"Zidana hiša (beton, opeka)",Samostojna,349,2006,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
531,307000,183,,1937,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Maribor, Malečnik
532,117000,138,4,1971,,"Zidana hiša (beton, opeka)",Samostojna,390,2012,Delno opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Pomurska, Radenci, Radenci
533,330000,122,,1969,,,,272,0,,,,,,Obalno-kraška, Koper, Koper
534,450000,209,,1985,,,Samostojna,0,0,,,,,D (60 - 105 kWh/m²a),Osrednjeslovenska, Ljubljana Šiška, Šiška
535,120000,62,,1750,Pritlična,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,0,,,,,,Podravska, Destrnik, Svetinci
536,32500,52,,1906,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Pomurska, Petrovci, Stanjevci
537,368000,226,,2021,Večnadstropna,"Zidana hiša (beton, opeka)",Dvojček,316,0,,,"Terasa, Atrij",,,Osrednjeslovenska, Ljubljana, Podgrad
538,165000,125,4,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,450,0,,,,,,Savinjska, Polzela, Polzela
540,189000,0,4,2012,,,Samostojna,0,0,,,,,,Podravska, Ptuj, Ptuj
541,270000,0,7,1887,,,Samostojna,0,0,,,,Vrt/dvorišče,G (210+ kWh/m²a),Savinjska, Rečica ob Savinji, Rečica ob Savinji
542,54900,0,3,1993,Enonadstropna,,,0,0,,4,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Savinjska, Slovenske Konjice, Slovenske Konjice
543,195000,167,,1892,,,Vrstna,114,2017,,brez pripadajočega parkirišča,,,,Gorenjska, Bohinj, Bohinjska Bistrica
544,183000,135,4,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,450,0,,,,,,Savinjska, Žalec, Šempeter v Savinjski dolini
545,205000,95,10+,1990,,,Ostalo,90,0,,,,,Ni možno izdati,Goriška, Ajdovščina, Vipavski Križ
546,438000,228,,1977,,,Samostojna,0,0,,,,,,Savinjska, Prebold, Kaplja vas
548,135000,112,,1831,,,Samostojna,1,1965,,,,,,Savinjska, Celje, Pečovnik
549,498000,0,3,2017,,,Samostojna,0,0,,,,,B2 (25 - 35 kWh/m²a),Obalno-kraška, Koper, Čežarji
550,200000,200,,1972,Enonadstropna,,Dvostanovanjska,501,0,,,,,EI v izdelavi,Podravska, Maribor, Radvanje
551,189000,0,6,1922,,,Samostojna,0,0,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Podravska, Maribor, Melje
552,62000,248,3,1925,Pritlična,,Samostojna,909,1968,Popolnoma opremljeno,,Atrij,Vrt/dvorišče,G (210+ kWh/m²a),Pomurska, Ljutomer, Mala Nedelja
553,195000,140,4,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,580,0,,,,,,Savinjska, Braslovče, Trnava
554,315000,347,,1975,,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,0,,,,,,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
555,497000,243,,2021,,,Samostojna,482,0,,,,,,Osrednjeslovenska, Škofljica, Lavrica
556,198000,351,5,1960,,"Zidana hiša (beton, opeka)",Samostojna,0,1974,,3,,,,Pomurska, Radenci, Radenci
557,139000,120,,2007,Enonadstropna,,Samostojna,491,0,,,,,Ni možno izdati,Podravska, Hoče, Hoče
558,65000,221,10+,1750,,,Ostalo,560,0,,,,,E (105 - 150 kWh/m²a),Goriška, Tolmin, Šentviška Gora
559,495000,96,10+,1907,,,Samostojna,783,0,,,,,G (210+ kWh/m²a),Goriška, Brda, Vipolže
560,320000,94,,1890,,,,0,0,,,,,,Obalno-kraška, Piran, Portorož
561,360000,130,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,341,0,,,,Vrt/dvorišče,,Podravska, Maribor, Studenci
562,79000,0,2,1900,,,Samostojna,0,0,,,,,,Podravska, Rače, Fram
563,85000,0,2,1990,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Podravska, Šentilj v Slovenskih goricah, Zgornja Velka
564,39000,0,2,1846,Enonadstropna,,Samostojna,0,0,,,,,,Podravska, Destrnik, Destrnik
565,62000,0,2,1900,,,Samostojna,0,0,,,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Podravska, Ormož, Velika Nedelja
566,249900,344,5,1999,,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,0,,3,,,,Podravska, Cerkvenjak, Cerkvenjak
567,64900,80,4,1900,Večnadstropna,Kamnita hiša,Samostojna,0,0,,,,,F (150 - 210 kWh/m²a),Savinjska, Laško, Debro
568,49000,41,1,2010,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,621,0,Delno opremljeno,,,"Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Podravska, Videm pri Ptuju, Gradišče
569,300000,0,6,1958,,,Samostojna,0,0,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Savinjska, Laško, Laško
570,75000,67,,1993,,,Vrstna,30,0,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,Koroška, Dravograd, Dravograd
571,210000,330,,1955,Enonadstropna,,Samostojna,685,2015,Popolnoma opremljeno,3,"Balkon, Terasa",,,Pomurska, Tišina, Murski Črnci
572,348000,0,5,2020,Dvonadstropna,,Samostojna,0,0,,2,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Podravska, Duplek, Spodnji Duplek
573,169000,198,8,1979,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,682,2013,Nedokončana gradnja,,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Podravska, Maribor, Malečnik
574,170000,191,5,1982,,"Zidana hiša (beton, opeka)",Dvojček,0,2014,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Benedikt, Ihova
575,449000,0,5,2014,,,Samostojna,0,0,,,,,D (60 - 105 kWh/m²a),Obalno-kraška, Kozina, Hrpelje
576,149000,200,1,0,Pritlična,,Samostojna,170,2014,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Ptuj, Ptuj
578,247500,144,1,2000,Pritlična,,Samostojna,0,0,,,,,EI v izdelavi,Podravska, Ptuj, Ptuj
579,122000,140,1,1999,Pritlična,,Samostojna,0,0,,,Balkon,,,Podravska, Ptuj, Ptuj
580,259900,130,3,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,568,0,,2,Atrij,Vrt/dvorišče,,Podravska, Videm pri Ptuju, Popovci
581,310000,142,7,1984,,,Samostojna,833,2019,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Bazen",E (105 - 150 kWh/m²a),Podravska, Maribor okolica, Jelovec
582,150000,175,5,1910,,"Zidana hiša (beton, opeka)",Samostojna,494,2011,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Maribor, Pobrežje
583,297000,292,10+,1995,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,600,2009,Popolnoma opremljeno,6,"Balkon, Terasa",Žar,D (60 - 105 kWh/m²a),Savinjska, Velenje, Plešivec
584,465000,264,7,1862,,,Samostojna,0,2020,Popolnoma opremljeno,brez pripadajočega parkirišča,Terasa,"Vrt/dvorišče, Bazen",B2 (25 - 35 kWh/m²a),Osrednjeslovenska, Litija, Vače
585,95000,350,,1850,,,Samostojna,0,1974,Neopremljeno,brez pripadajočega parkirišča,,Vrt/dvorišče,G (210+ kWh/m²a),Podravska, Ruše, Log
587,420000,255,5,1998,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,2,,,,Savinjska, Polzela, Polzela
588,39000,70,2,1951,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,,,,,Podravska, Makole, Jelovec pri Makolah
589,37000,223,,1900,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Mokronog - Trebelno, Mokronog
590,83000,541,,1978,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Posavska, Krško, Senovo
591,379000,91,,1996,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,606,2021,Delno opremljeno,,Terasa,Vrt/dvorišče,,Podravska, Maribor, Kamnica
593,350000,0,4,2017,Pritlična,,Samostojna,0,0,,5,,"Bazen, Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",B2 (25 - 35 kWh/m²a),Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
594,41000,0,1,1800,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Juršinci, Juršinci
595,140000,174,,1982,,,Samostojna,805,0,,,,,F (150 - 210 kWh/m²a),Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
596,155000,205,8,1975,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,525,2016,Delno opremljeno,,Balkon,,,Podravska, Hoče, Hoče
597,320000,180,5,1937,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,669,2001,Delno opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Podravska, Maribor, Tabor
598,235000,355,,1973,,,Samostojna,935,2005,,,,,D (60 - 105 kWh/m²a),Podravska, Rače, Fram
599,299000,139,4,2022,Enonadstropna,,Samostojna,250,0,Neopremljeno,,Balkon,,EI v izdelavi,Podravska, Maribor, Magdalena
600,270000,164,4,1952,,,Samostojna,0,2020,Popolnoma opremljeno,2,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Poljčane, Studenice
601,320000,161,5,1979,,,Samostojna,0,2014,Delno opremljeno,4,"Balkon, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Savinjska, Rogaška Slatina, Prnek
602,135000,143,,1960,,"Zidana hiša (beton, opeka)",Dvojček,496,2015,,,Terasa,,D (60 - 105 kWh/m²a),Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
603,68000,0,2,1940,,,Samostojna,0,0,,,,,,Goriška, Ajdovščina, Ajdovščina
604,115000,118,,1970,Enonadstropna,,Vrstna,103,0,Delno opremljeno,2,"Balkon, Terasa",,E (105 - 150 kWh/m²a),Savinjska, Slovenske Konjice, Slovenske Konjice
606,145000,88,,1946,,"Zidana hiša (beton, opeka)",Samostojna,0,1980,Neopremljeno,brez pripadajočega parkirišča,,,,Savinjska, Celje, Ljubečna
607,159000,0,6,1970,Večnadstropna,,Samostojna,0,0,,,,,G (210+ kWh/m²a),Podravska, Ptuj, Ptuj
608,250000,365,,2015,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Savinjska, Vojnik, Lešje
609,370000,232,,2008,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,D (60 - 105 kWh/m²a),Savinjska, Vojnik, Lešje
610,189000,243,,1978,,"Zidana hiša (beton, opeka)",Samostojna,0,1985,Popolnoma opremljeno,,,,,Savinjska, Rogaška Slatina, Rogaška Slatina
611,279900,215,5,2022,,,Samostojna,328,0,Neopremljeno,2,Terasa,Vrt/dvorišče,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
612,120000,186,4,1971,,"Zidana hiša (beton, opeka)",Samostojna,788,0,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Kidričevo, Lovrenc na Dravskem polju
613,294900,229,,2022,,"Zidana hiša (beton, opeka)",Samostojna,355,0,,,,,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
614,279900,229,,2022,,"Zidana hiša (beton, opeka)",Samostojna,312,0,,,,,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
615,259900,188,,2022,,"Zidana hiša (beton, opeka)",Samostojna,342,0,,,,,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
616,390000,99,,2009,Enonadstropna,,Dvojček,226,2017,,2,"Terasa, Atrij",,B2 (25 - 35 kWh/m²a),Osrednjeslovenska, Brezovica pri Ljubljani, Jezero
617,65000,60,,1988,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,"Balkon, Terasa",Vrt/dvorišče,,Podravska, Videm pri Ptuju, Spodnji Leskovec
618,139990,194,5,2022,,"Zidana hiša (beton, opeka)",Samostojna,800,0,,,,,,Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane
619,150015,194,5,2022,,"Zidana hiša (beton, opeka)",Samostojna,800,0,,brez pripadajočega parkirišča,,,,Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane
620,152752,194,5,2022,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane
621,160965,194,5,2022,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane
623,180000,229,,1976,,"Zidana hiša (beton, opeka)",Samostojna,834,0,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
624,249000,0,6,2012,Večnadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Kungota, Pesnica
625,328000,0,5,1870,Dvonadstropna,Kamnita hiša,Samostojna,0,0,,5,,Vrt/dvorišče,G (210+ kWh/m²a),Obalno-kraška, Koper, Osp
626,68000,88,2,2007,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Videm pri Ptuju, Belavšek
627,314490,129,,2022,,,Dvojček,0,0,,brez pripadajočega parkirišča,,,,Podravska, Maribor okolica, Kamnica
628,419000,250,2,1865,Visokopritlična,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,391,2002,,4,Terasa,Vrt/dvorišče,EI v izdelavi,Osrednjeslovenska, Kamnik, Kamnik
629,340000,276,,2009,,"Zidana hiša (beton, opeka)",Samostojna,864,0,,brez pripadajočega parkirišča,,,,Podravska, Maribor, Limbuš
630,275000,93,,1874,Enonadstropna,,,628,1950,,,Balkon,,,Gorenjska, Bled, Bodešče
631,54900,0,2,1987,,,,0,0,,,,Vrt/dvorišče,G (210+ kWh/m²a),Podravska, Sveti Tomaž, Sveti Tomaž
632,159000,0,1,1890,,,Samostojna,0,0,,,,,G (210+ kWh/m²a),Obalno-kraška, Koper, Koper
634,305700,164,,2022,,"Zidana hiša (beton, opeka)",Dvojček,242,0,,,,,,Podravska, Maribor, Pobrežje
635,308000,164,,2022,,"Zidana hiša (beton, opeka)",Dvojček,275,0,,,,,,Podravska, Maribor, Pobrežje
637,350000,175,,2002,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Maribor, Bresternica
638,310000,165,3,2022,,"Zidana hiša (beton, opeka)",Dvojček,255,0,Neopremljeno,brez pripadajočega parkirišča,,,,Podravska, Maribor, Pobrežje
641,199000,0,4,1999,Večnadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Podravska, Rače, Fram
642,83000,110,,1928,Enonadstropna,,Samostojna,0,0,,,,,,Pomurska, Puconci, Puconci
643,279800,172,,1982,,"Zidana hiša (beton, opeka)",Samostojna,293,2015,,,,,,Obalno-kraška, Koper, Gabrovica pri Črnem Kalu
644,389000,0,6,1972,,,Samostojna,0,0,,,,Vrt/dvorišče,,Goriška, Nova Gorica, Nova Gorica
645,139000,115,,1964,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,"Atrij, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Pomurska, Gornja Radgona, Gornja Radgona
646,349000,194,6,1909,Enonadstropna,,Dvojček,378,0,Popolnoma opremljeno,4,,,,Goriška, Bovec, Log pod Mangartom
647,240000,187,,1600,Večnadstropna,,Samostojna,169,1900,,,,,G (210+ kWh/m²a),Gorenjska, Radovljica, Radovljica
648,275000,157,,1930,Dvonadstropna,,Samostojna,450,2010,,,,,,Zasavska, Zagorje ob Savi, Zagorje ob Savi
649,114500,104,,1900,,"Zidana hiša (beton, opeka)",Samostojna,144,0,,brez pripadajočega parkirišča,,,,Savinjska, Luče, Luče
650,165000,206,,1922,,"Zidana hiša (beton, opeka)",Ostalo,489,2010,Delno opremljeno,,,,,Goriška, Miren, Miren
653,85000,100,,1945,Pritlična,,Stanovanjsko-poslovna,0,0,,,,,,Podravska, Ptuj, Ptuj
654,279000,201,4,2008,Pritlična,,Atrijska,909,0,,,,"Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Podravska, Ptuj, Ptuj
655,259000,190,,1982,,,Samostojna,0,2018,,,,,,Podravska, Šentilj v Slovenskih goricah, Ceršak
656,451000,0,8,1967,Večnadstropna,,Samostojna,0,0,,4,,,F (150 - 210 kWh/m²a),Gorenjska, Bled, Bled
659,438000,228,,1977,,,Samostojna,0,0,,,,,,Savinjska, Prebold, Kaplja vas
660,218000,298,,1920,,"Zidana hiša (beton, opeka)",Samostojna,470,2010,,,,,,Podravska, Maribor, Tabor
661,65000,263,,1901,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Goriška, Nova Gorica, Čepovan
662,49000,0,2,1989,,,Samostojna,0,0,,1,,,,Posavska, Brežice, Brežice
663,159000,0,6,1964,,,Samostojna,0,0,,,,,E (105 - 150 kWh/m²a),Savinjska, Braslovče, Braslovče
664,99000,0,4,1780,,,Samostojna,0,0,,,,,,Podravska, Kungota, Pesnica
665,338000,0,5,1999,Dvonadstropna,,Samostojna,0,0,,1,,,C (35 - 60 kWh/m²a),Obalno-kraška, Koper, Škofije
666,94000,553,,1910,,,,0,1940,,brez pripadajočega parkirišča,,,F (150 - 210 kWh/m²a),Posavska, Brežice, Dobova
667,490000,285,,2007,,,Samostojna,961,0,,,,,,Osrednjeslovenska, Brezovica pri Ljubljani, Preserje
668,100000,48,10+,1930,,,Ostalo,0,0,,,,,Ni možno izdati,Goriška, Brda, Vipolže
669,250000,0,2,1993,,,Samostojna,0,0,,7+,,,,Savinjska, Polzela, Polzela
