,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
1808,299.000 €,,,,"281,00 m²",,2010.0,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",,,,,Balkon,,Skupna cena,13.05.2022. ob 00:16,do prodaje,679 -krat,https://www.bolha.com/nepremicnine/slovenske-konjice-hisa-samostojna-prodaja-oglas-9419427,9419427,,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"379,00 m²",,107194-98,house,6,,,,"518,00 m²"
1809,29.900 €,,,,,,1946.0,Prodam,"Savinjska, Rogatec, Rogatec",,,,,,,Skupna cena,13.05.2022. ob 00:12,do prodaje,3798 -krat,https://www.bolha.com/nepremicnine/dve-stanovanjski-hisi-oglas-9419417,9419417,,,,,,490281029-64,house,4,,,Samostojna,
1810,349.000 €,,,,"313,59 m²",,2001.0,Prodam,"Koroška, Mislinja, Šentilj pod Turjakom",,,,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,12.05.2022. ob 15:11,do prodaje,1477 -krat,https://www.bolha.com/nepremicnine/mislinja-sentilj-pod-turjakom-hisa-samostojna-prodaja-oglas-9417887,9417887,Delno opremljeno,4,Menjava za drugo nepremičnino ni možna,"364,14 m²",EI v izdelavi,111213-177,house,6,,,Samostojna,"652,00 m²"
1811,234.000 €,,,,,,1953.0,Prodam,"Koroška, Slovenj Gradec, Tomaška vas",,,,1999.0,Balkon,Vrt/dvorišče,Skupna cena,12.05.2022. ob 15:11,do prodaje,973 -krat,https://www.bolha.com/nepremicnine/slovenj-gradec-tomaska-vas-hisa-samostojna-prodaja-oglas-9417884,9417884,Delno opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"479,00 m²",EI v izdelavi,111213-185,house,,,,Samostojna,"1.149,00 m²"
1812,155.000 €,,,,,,1980.0,Prodam,"Podravska, Hajdina, Zgornja Hajdina",,,,,,,Skupna cena,12.05.2022. ob 00:11,do prodaje,3433 -krat,https://www.bolha.com/nepremicnine/hisa-z-urejenim-vrtom-oglas-9415930,9415930,,3,,,,490151040-85,house,4,Dvonadstropna,,Samostojna,
1813,119.900 €,,,,"133,00 m²",,1972.0,Prodam,"Savinjska, Slovenske Konjice, Loče",,,,2004.0,"Balkon, Terasa",,Skupna cena,11.05.2022. ob 11:38,do prodaje,2757 -krat,https://www.bolha.com/nepremicnine/stanovanjska-hisa-z-vinogradom-v-idilicnem-okolju-slovenjskih-konjic-oglas-9413884,9413884,Popolnoma opremljeno,,,"1.350,00 m²",,,house,4,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,
1814,81.000 €,,,,"138,00 m²",,1984.0,Prodam,"Koroška, Prevalje, Leše",,,,2020.0,,"Lopa za shranjevanje, Vrtna uta",Skupna cena,11.05.2022. ob 11:14,do prodaje,1470 -krat,https://www.bolha.com/nepremicnine/starejsa-hisa-potrebna-prenove-lesah-oglas-9413795,9413795,Nedokončana gradnja,,,"356,00 m²",D (60 - 105 kWh/m²a),,house,4,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,
1815,175.000 €,,,,"200,00 m²",,2012.0,Prodam,"Podravska, Juršinci, Juršinci",,,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,11.05.2022. ob 10:35,do prodaje,4077 -krat,https://www.bolha.com/nepremicnine/vrhunsko-hiso-v-jursincih-prodamo-200.00-m2-oglas-8437908,8437908,,,,,C (35 - 60 kWh/m²a),,house,5,,,Samostojna,"3.516,00 m²"
1816,179.000 €,,,,,,1973.0,Prodam,"Podravska, Maribor, Ostalo",,,,2021.0,Terasa,,Skupna cena,11.05.2022. ob 10:03,do prodaje,7096 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ostalo-oglas-9413503,9413503,,,,"238,90 m²",F (150 - 210 kWh/m²a),P-021-22,house,3,,"Zidana hiša (beton, opeka)",Samostojna,"639,00 m²"
1817,198.000 €,,,,"60,00 m²",,1986.0,Prodam,"Obalno-kraška, Koper, Bertoki",,,,,,,Skupna cena,11.05.2022. ob 05:21,do prodaje,1347 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-bertoki-oglas-9412722,9412722,,,,"60,00 m²",,PH22901266859151MP,house,,,"Zidana hiša (beton, opeka)",Samostojna,"1.320,00 m²"
1818,164.000 €,,,,"162,00 m²",,2022.0,Prodam,"Savinjska, Celje, Trnovlje pri Celju",,,,,,,Skupna cena,11.05.2022. ob 05:15,do prodaje,1289 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-savinjska-celje-trnovlje-pri-celju-oglas-9412695,9412695,Neopremljeno,,,"162,00 m²",,PH00843MN,house,,,"Zidana hiša (beton, opeka)",Dvojček,"200,00 m²"
1819,287.000 €,,,,,,1989.0,Prodam,"Podravska, Maribor, Tezno",,,,,,Vrt/dvorišče,Skupna cena,11.05.2022. ob 05:13,do prodaje,1290 -krat,https://www.bolha.com/nepremicnine/dvostanovanjska-hisa-z-zelenico-teznu-oglas-9412693,9412693,,,,,D (60 - 105 kWh/m²a),490321042-293,house,9,Dvonadstropna,,Samostojna,
1820,750.000 €,,,,"262,20 m²",,1954.0,Prodam,"Osrednjeslovenska, Medvode, Medvode",,,,2006.0,,,Skupna cena,10.05.2022. ob 14:33,do prodaje,367 -krat,https://www.bolha.com/nepremicnine/medvode-262.00-m2-oglas-9411130,9411130,,,,,D (60 - 105 kWh/m²a),A67,house,6,Enonadstropna,,Dvostanovanjska,"1.206,00 m²"
