,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa
138,128.000 €,,,,"57,40 m²","2,5-sobno",1965,Prodam,"Savinjska, Celje, Gaberje",V večstanovanjski stavbi,3.,12,2012,Balkon,,Skupna cena,11.09.2022. ob 08:30,Št. dni: 26 in 11 h,186 -krat,https://www.bolha.com/nepremicnine/stanovanje-oglas-9943331,9943331,,,Možna menjava za drugo nepremičnino,"54,00 m²",,
139,Po dogovoru,,,,"80,00 m²","2,5-sobno",1950,Prodam,"Podravska, Maribor, Magdalena",V hiši,Pritličje,2,2022,Terasa,Vrt/dvorišče,Cena na m²,11.09.2022. ob 08:28,Št. dni: 26 in 11 h,4910 -krat,https://www.bolha.com/nepremicnine/stanovanje-tabor-puncerjeva-ulica-80m2-oglas-8655689,8655689,Delno opremljeno,2,Možna menjava za drugo nepremičnino,"80,00 m²",A2 (10 - 15 kWh/m2a),
140,235.000 €,,,,"69,00 m²",4-sobno,1997,Prodam,"Osrednjeslovenska, Medvode, Medvode",V večstanovanjski stavbi,1.,3,2018,"Balkon, Loža","Vrt/dvorišče, Vrtna uta, Žar",Skupna cena,10.09.2022. ob 22:40,Št. dni: 26 in 1 h,4253 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-medvode-69.50-m2-oglas-9942196,9942196,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,"86,00 m²",B2 (25 - 35 kWh/m2a),
141,310.000 €,,,,"50,00 m²",3-sobno,1900,Prodam,"Obalno-kraška, Piran, Piran",V večstanovanjski stavbi,3.,,2016,,,Skupna cena,10.09.2022. ob 21:08,Št. dni: 26,3982 -krat,https://www.bolha.com/nepremicnine/stanovanje-obalno-kraska-piran-3-sobno-53.00-m2-prodam-oglas-1454860,1454860,,,,,EI ni potrebna (334. člen EZ-1),
142,120.000 €,,,,"55,50 m²",2-sobno,1978,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,3.,4,2016,Balkon,,Skupna cena,09.09.2022. ob 21:30,Št. dni: 25,1442 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-55.50-m2-oglas-7335275,7335275,Delno opremljeno,1,,"63,20 m²",C (35 - 60 kWh/m2a),
143,120.000 €,,,,"59,51 m²",2-sobno,1975,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,4.,5,2014,Balkon,,Skupna cena,09.09.2022. ob 18:36,Št. dni: 24 in 21 h,6337 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-59.00-m2-oglas-3596413,3596413,Popolnoma opremljeno,1,,,C (35 - 60 kWh/m2a),
144,329.000 €,,,,"81,20 m²",4-sobno,2012,Prodam,"Osrednjeslovenska, Domžale, Zgornje Jarše",V večstanovanjski stavbi,3.,4,,Loža,,Skupna cena,09.09.2022. ob 17:27,Št. dni: 24 in 20 h,83 -krat,https://www.bolha.com/nepremicnine/4-sobno-stanovanje-v-soseski-gaj-preserje-v-radomljah-oglas-9937247,9937247,Popolnoma opremljeno,1,,"87,50 m²",B1 (15 - 25 kWh/m2a),
145,110.000 €,,,,,2-sobno,,Prodam,"Podravska, Kidričevo, Kidričevo",V večstanovanjski stavbi,Visoko pritličje,1,,Balkon,,Skupna cena,09.09.2022. ob 17:00,Št. dni: 24 in 19 h,13668 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kidricevo-oglas-6921005,6921005,,,,"83,67 m²",,
146,165.000 €,,,,"28,27 m²",1-sobno,1971,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška",V večstanovanjski stavbi,3.,3,2012,,,Skupna cena,09.09.2022. ob 16:35,Št. dni: 8 in 14 h,1582 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-zgornja-siska-28.00-m2-oglas-9430390,9430390,,,Menjava za drugo nepremičnino ni možna,"30,82 m²",,
147,195.000 €,,,,"68,00 m²",3-sobno,1909,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,1.,4,2021,,Vrt/dvorišče,Skupna cena,09.09.2022. ob 16:12,Št dni: 2 in 2 h,587 -krat,https://www.bolha.com/nepremicnine/prodamo-center-mb-3-sobno-obnovljeno-staromescansko-stanovanje-oglas-9830622,9830622,Delno opremljeno,1,,"74,60 m²",EI v izdelavi,
148,150.000 €,,,,"45,00 m²",2-sobno,1981,Prodam,"Gorenjska, Škofja Loka, Škofja Loka",V večstanovanjski stavbi,1.,4,2014,,,Skupna cena,09.09.2022. ob 15:12,do prodaje,93 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-enoinpolsobno-gorenjska-skofja-loka-binkelj-oglas-9936756,9936756,,,,"45,00 m²",,PS22901266859310AK
149,298.000 €,,,,"72,80 m²",3-sobno,1980,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,,21,,"Balkon, Zaprt balkon",,Skupna cena,09.09.2022. ob 15:11,do prodaje,92 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-stanovanje-3-sobno-prodaja-oglas-9936730,9936730,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"80,90 m²",D (60 - 105 kWh/m2a),109208-77
150,215.000 €,,,,"93,10 m²",3-sobno,2009,Prodam,"Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju",V večstanovanjski stavbi,2.,2,2021,Balkon,,Skupna cena,09.09.2022. ob 15:09,do prodaje,161 -krat,https://www.bolha.com/nepremicnine/cudovito-dvoetazno-stanovanje-z-balkonom-miklavz-dravskem-polju-oglas-9936717,9936717,Popolnoma opremljeno,,,"104,20 m²",,16-02787
151,90.000 €,,,,"22,06 m²",Garsonjera,,Prodam,"Gorenjska, Kranj, Kranj",V večstanovanjski stavbi,1.,,2019,,,Skupna cena,09.09.2022. ob 12:33,Št. dni: 24 in 15 h,169 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanja-garsonjera-1-nadstropje-24.56-m2-oglas-9936137,9936137,,,,"24,56 m²",,
152,154.000 €,,,,"51,00 m²",2-sobno,1966,Prodam,"Savinjska, Celje, Slavko Šlander",V večstanovanjski stavbi,5.,5,2017,,,Skupna cena,09.09.2022. ob 10:54,Št. dni: 24 in 13 h,224 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slavko-slander-51.00-m2-oglas-9935712,9935712,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"53,00 m²",EI ni potrebna (334. člen EZ-1),
153,105.000 €,,,,"69,20 m²","2,5-sobno",1930,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,Pritličje,,2013,Atrij,,Skupna cena,09.09.2022. ob 09:53,do prodaje,339 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenska-bistrica-69.00-m2-nizki-stroski-oglas-9935414,9935414,Popolnoma opremljeno,,,"83,20 m²",D (60 - 105 kWh/m2a),
154,244.338 €,,,,"201,00 m²","3,5-sobno",2023,Prodam,"Podravska, Maribor, Pobrežje",,Pritličje,3,,Atrij,,Skupna cena,09.09.2022. ob 09:30,do prodaje,178 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-201.00-m2-oglas-9902186,9902186,,,,,,B1.3
155,240.900 €,,,,"265,20 m²",4-sobno,2023,Prodam,"Podravska, Maribor, Pobrežje",,Pritličje,3,,Atrij,,Skupna cena,09.09.2022. ob 09:30,do prodaje,2387 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-209.00-m2-oglas-9224586,9224586,,,,"92,50 m²",,B2.1
156,153.057 €,,,,"220,90 m²",2-sobno,2023,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,Pritličje,3,,"Balkon, Atrij",,Skupna cena,09.09.2022. ob 09:30,do prodaje,1990 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-201.00-m2-oglas-9224510,9224510,,,,"50,00 m²",,B2.3
157,265.950 €,,,,"135,70 m²",3-sobno,2023,Prodam,"Podravska, Maribor, Pobrežje",,3.,3,,Terasa,,Skupna cena,09.09.2022. ob 09:30,do prodaje,5110 -krat,https://www.bolha.com/nepremicnine/marobor-penthouse-4-sobno-z-veliko-teraso-oglas-9204387,9204387,,,,,,B2.13
158,330.000 €,,,,"82,00 m²",3-sobno,2020,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Zalog",V večstanovanjski stavbi,Pritličje,2,,Balkon,,Skupna cena,09.09.2022. ob 08:39,Št. dni: 24 in 11 h,72 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-zalog-82.00-m2-oglas-9701795,9701795,Delno opremljeno,1,,,,
159,46.000 €,,,,"39,00 m²",Garsonjera,1963,Prodam,"Podravska, Šentilj v Slovenskih goricah, Sladki Vrh",V večstanovanjski stavbi,1.,3,,,,Skupna cena,09.09.2022. ob 05:22,Št. dni: 24 in 8 h,900 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-vranji-vrh-39.00-m2-oglas-9797884,9797884,Popolnoma opremljeno,,,"43,00 m²",,
160,171.000 €,,,,,2-sobno,1920,Prodam,"Savinjska, Celje, Celje",,,,,,,Skupna cena,09.09.2022. ob 00:20,do prodaje,101 -krat,https://www.bolha.com/nepremicnine/stanovanje-investicijo-v-centru-mesta-oglas-9933093,9933093,,,,,,490281026-191
161,127.000 €,,,,,2-sobno,1964,Prodam,"Savinjska, Celje, Celje",,,,,,,Skupna cena,09.09.2022. ob 00:20,do prodaje,235 -krat,https://www.bolha.com/nepremicnine/stanovanje-trubarjeva-celje-otok-oglas-9933090,9933090,,,,,,490281025-73
162,200.000 €,,,,"79,00 m²",2-sobno,2001,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,4.,6,2020,,,Skupna cena,08.09.2022. ob 16:46,Št. dni: 23 in 19 h,391 -krat,https://www.bolha.com/nepremicnine/stanovanje-center-92.00-m2-z-garazo-oglas-9931443,9931443,Delno opremljeno,1,,"92,00 m²",,
163,94.500 €,,,,"50,00 m²",,1968,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,,,,,,Skupna cena,08.09.2022. ob 15:10,do prodaje,2110 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-podravska-ptuj-ptuj-oglas-9930959,9930959,,,,"50,00 m²",,PS01305AB
164,124.990 €,,,,"80,00 m²",4-sobno,1837,Prodam,"Koroška, Prevalje, Zagrad",V hiši,Visoko pritličje,1,1988,,Vrt/dvorišče,Skupna cena,08.09.2022. ob 14:21,do prodaje,445 -krat,https://www.bolha.com/nepremicnine/4-sobno-stanovanje-v-neposredni-blizini-centra-prevalj-prodamo-oglas-9930729,9930729,Popolnoma opremljeno,,,"114,00 m²",EI v izdelavi,
165,149.000 €,,,,"30,00 m²",Garsonjera,1973,Prodam,"Obalno-kraška, Piran, Lucija",V večstanovanjski stavbi,5.,5,2019,Terasa,,Skupna cena,08.09.2022. ob 13:04,Št. dni: 23 in 15 h,163 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-lucija-portoroz-30-m2-oglas-9930408,9930408,Popolnoma opremljeno,,,,,
166,114.900 €,,,,"54,40 m²",2-sobno,1965,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,4.,4,2011,,,Skupna cena,08.09.2022. ob 12:26,do prodaje,228 -krat,https://www.bolha.com/nepremicnine/dvosobno-stanovanje-tabor-54.40-m2-oglas-9930258,9930258,Delno opremljeno,,,,C (35 - 60 kWh/m2a),
167,84.999 €,,,,"36,00 m²",1-sobno,1976,Prodam,"Savinjska, Celje, Dolgo polje",V večstanovanjski stavbi,7.,12,2019,,,Skupna cena,08.09.2022. ob 12:26,Št. dni: 23 in 15 h,361 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pohorska-ulica-4-36.00-m2-oglas-9930255,9930255,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,"34,00 m²",,
168,162.000 €,,,,"45,40 m²",2-sobno,1961,Prodam,"Gorenjska, Kranj, Kranj",V večstanovanjski stavbi,2.,4,2011,Balkon,,Skupna cena,08.09.2022. ob 12:02,do prodaje,81 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kranj-45.40-m2-oglas-9930171,9930171,,,,"52,30 m²",,S-149/2022
169,400 €,,,,"70,00 m²","1,5-sobno",,Prodam,"Jugovzhodna Slovenija, Šmarješke Toplice, Družinska vas",V hiši,Pritličje,2,,Terasa,Vrt/dvorišče,Skupna cena,08.09.2022. ob 12:00,Št. dni: 23 in 14 h,95 -krat,https://www.bolha.com/nepremicnine/stanovanje-smarjeske-toplice-oddam-oglas-9930161,9930161,,2,,"70,00 m²",D (60 - 105 kWh/m2a),
170,149.900 €,,,,"73,10 m²",4-sobno,1945,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Visoko pritličje,5,2000,,,Skupna cena,08.09.2022. ob 11:20,do prodaje,1287 -krat,https://www.bolha.com/nepremicnine/4-sobno-stanovanje-73.10.00-m2-maribor-center-investicijo-oglas-9685792,9685792,Popolnoma opremljeno,1,Menjava za drugo nepremičnino ni možna,"69,60 m²",EI v izdelavi,00171/-4S/P_1/22
171,165.000 €,,,,"69,90 m²",3-sobno,1979,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,1.,8,2021,Balkon,Vrt/dvorišče,Skupna cena,08.09.2022. ob 09:57,Št. dni: 12 in 2 h,4409 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-vas-74.00-m2-oglas-9875542,9875542,Delno opremljeno,,,"74,50 m²",D (60 - 105 kWh/m2a),
172,160.000 €,,,,"102,00 m²","4,5-sobno",1979,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,4.,4,2012,Balkon,,Skupna cena,08.09.2022. ob 09:40,Št. dni: 23 in 12 h,7903 -krat,https://www.bolha.com/nepremicnine/4-sobno-stanovanje-dvonadstropno-ptuj-112.00-m2-oglas-9783126,9783126,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,"112,00 m²",C (35 - 60 kWh/m2a),
173,280.000 €,,,,"105,00 m²",3-sobno,2008,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,2.,3,,Zaprt balkon,,Skupna cena,08.09.2022. ob 08:34,Št. dni: 18 in 2 h,2172 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kalvarijo-80.00-m2-oglas-9424414,9424414,,,,,,
174,199.000 €,,,,"79,00 m²",Drugo,1960,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,Pritličje,10,2022,,"Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta",Skupna cena,08.09.2022. ob 07:06,Št. dni: 23 in 9 h,209 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-koroska-vrata-75.00-m2-oglas-9928908,9928908,Delno opremljeno,brez pripadajočega parkirišča,,"79,00 m²",EI v izdelavi,
175,99.000 €,,,,,2-sobno,1974,Prodam,"Podravska, Ptuj, Ptuj",,,6,,,,Skupna cena,08.09.2022. ob 00:21,do prodaje,316 -krat,https://www.bolha.com/nepremicnine/dvosobno-stanovanje-z-lepim-razgledom-oglas-9927531,9927531,,,,,,490151040-103
176,268.000 €,,,,"66,00 m²",3-sobno,1968,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška",V večstanovanjski stavbi,8.,12,2005,Balkon,,Skupna cena,07.09.2022. ob 23:26,Št. dni: 0 in 22 h,149 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-zgornja-siska-66.00-m2-oglas-9801287,9801287,,,,"62,00 m²",D (60 - 105 kWh/m2a),
177,Po dogovoru,,,,"54,00 m²",2-sobno,1998,Prodam,"Gorenjska, Bled, Bled",V hiši,Pritličje,1,2019,Terasa,,Skupna cena,07.09.2022. ob 21:30,Št. dni: 17 in 12 h,1074 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-center-bled-54.00-m2-oglas-9623400,9623400,Delno opremljeno,1,,"66,00 m²",,
178,233.000 €,,,,,3-sobno,1982,Prodam,"Obalno-kraška, Kozina, Hrpelje",V večstanovanjski stavbi,3.,4,2016,"Balkon, Zaprt balkon",,Skupna cena,07.09.2022. ob 21:15,Št. dni: 23,2558 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-hrpelje-oglas-7465627,7465627,Popolnoma opremljeno,,,"76,10 m²",,
179,92.000 €,,,,"26,70 m²",Garsonjera,1997,Prodam,"Osrednjeslovenska, Trzin, Trzin",V večstanovanjski stavbi,2.,2,,Balkon,,Skupna cena,07.09.2022. ob 16:05,Št. dni: 22 in 18 h,2529 -krat,https://www.bolha.com/nepremicnine/stanovanje-osrednjeslovenska-trzin-ioc-trzin-garsonjera-29.10-oglas-3216396,3216396,Popolnoma opremljeno,,,"29,10 m²",D (60 - 105 kWh/m2a),
180,199.000 €,,,,"59,00 m²",,1941,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Savsko naselje",V večstanovanjski stavbi,1.,3,2005,,,Skupna cena,07.09.2022. ob 15:12,do prodaje,144 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-ljubljana-bezigrad-savsko-naselje-oglas-9926143,9926143,,,,"59,00 m²",,PS22901266859095ZV-2
181,75.000 €,,,,"67,50 m²",2-sobno,1967,Prodam,"Podravska, Maribor, Center",,,,,,,Skupna cena,07.09.2022. ob 15:11,do prodaje,567 -krat,https://www.bolha.com/nepremicnine/2-sobno-stanovanje-samostojni-del-hise-v-centru-mesta-maribor-cent-oglas-9926128,9926128,,,,,EI v izdelavi,8898
182,291.000 €,,,,"82,00 m²",,1955,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most",V večstanovanjski stavbi,,2,2008,,,Skupna cena,07.09.2022. ob 15:10,do prodaje,62 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-ljubljana-vic-rudnik-vic-oglas-9926125,9926125,Delno opremljeno,,,"82,00 m²",,KODA: P1092LV
183,150.000 €,,,,"58,00 m²",2-sobno,1970,Prodam,"Goriška, Nova Gorica, Nova Gorica",V večstanovanjski stavbi,Visoko pritličje,4,,Zaprt balkon,,Skupna cena,07.09.2022. ob 14:15,Št. dni: 22 in 17 h,301 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-gorica-58.00-m2-oglas-9925891,9925891,Delno opremljeno,,,,,
184,197.000 €,,,,"68,00 m²","2,5-sobno",1966,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Polje",V večstanovanjski stavbi,4.,4,2021,,,Skupna cena,07.09.2022. ob 13:24,Št. dni: 22 in 16 h,76 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-ljubljana-polje-68.00-m2-oglas-9925683,9925683,,,Možna menjava za drugo nepremičnino,,D (60 - 105 kWh/m2a),
185,275.000 €,,,,,3-sobno,1869,Prodam,"Podravska, Maribor, Melje",V večstanovanjski stavbi,1.,2,2022,Balkon,,Skupna cena,07.09.2022. ob 13:23,do prodaje,728 -krat,https://www.bolha.com/nepremicnine/mescansko-stanovanje-v-mariboru-podravska-oglas-9925676,9925676,Neopremljeno,,,"101,00 m²",,02351-196
186,189.888 €,,,,"78,10 m²",2-sobno,,Prodam,"Savinjska, Žalec, Žalec",V večstanovanjski stavbi,1.,2,2009,"Balkon, Zaprt balkon",Vrt/dvorišče,Skupna cena,07.09.2022. ob 13:20,Št. dni: 22 in 16 h,13896 -krat,https://www.bolha.com/nepremicnine/odlicna-lokacija-v-centru-zalca-85.15-m2-oglas-8771877,8771877,Popolnoma opremljeno,2,,"85,15 m²",D (60 - 105 kWh/m2a),
187,"89.113,50 €",,,,"38,10 m²",Garsonjera,2010,Prodam,"Podravska, Hoče, Hočko Pohorje",V večstanovanjski stavbi,5.,5,2022,Loža,,Skupna cena,07.09.2022. ob 09:53,Št. dni: 22 in 12 h,403 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-hocko-pohorje-38.00-m2-oglas-9924758,9924758,,,,"47,15 m²",,
188,138.000 €,,,,"64,32 m²","2,5-sobno",1938,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,1.,4,2022,,,Skupna cena,07.09.2022. ob 08:08,Št. dni: 22 in 10 h,277 -krat,https://www.bolha.com/nepremicnine/2.5-sobno-mb-center-64-m2-oglas-9924399,9924399,Popolnoma opremljeno,1,,,,
189,114.900 €,,,,"60,00 m²",2-sobno,1990,Prodam,"Podravska, Maribor, Borova vas",V večstanovanjski stavbi,5.,7,,"Balkon, Loža",Vrt/dvorišče,Skupna cena,07.09.2022. ob 07:28,Št. dni: 22 in 10 h,8773 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-borova-vas-65.00-m2-oglas-3857126,3857126,Delno opremljeno,2,Možna menjava za drugo nepremičnino,"65,00 m²",EI v izdelavi,
190,97.000 €,,,,,2-sobno,1981,Prodam,"Koroška, Slovenj Gradec, Slovenj Gradec",,,,,,,Skupna cena,07.09.2022. ob 00:16,do prodaje,290 -krat,https://www.bolha.com/nepremicnine/dvosobno-stanovanje-z-balkonom-oglas-9923538,9923538,,,,,C (35 - 60 kWh/m2a),490271003-337
191,299.000 €,,,,,3-sobno,1900,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška",,,,,,,Skupna cena,07.09.2022. ob 00:16,do prodaje,50 -krat,https://www.bolha.com/nepremicnine/stanovanje-spodnja-siska-oglas-9923536,9923536,,,,,E (105 - 150 kWh/m2a),490191109-25
192,188.000 €,,,,"93,00 m²",3-sobno,1964,Prodam,"Podravska, Maribor, Tezno",V večstanovanjski stavbi,3.,3,2018,"Balkon, Zaprt balkon",,Skupna cena,06.09.2022. ob 20:30,Št. dni: 21 in 23 h,225 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-tezno-93.00-m2-oglas-9923024,9923024,Popolnoma opremljeno,2,,"124,00 m²",,
193,Po dogovoru,,,,"23,00 m²",Garsonjera,,Prodam,"Obalno-kraška, Koper, Koper",V hiši,Pritličje,2,2009,Atrij,Vrt/dvorišče,Skupna cena,06.09.2022. ob 18:28,Št. dni: 21 in 21 h,246 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-koper-23.00-m2-oglas-9922621,9922621,,,Menjava za drugo nepremičnino ni možna,"18,00 m²",,
194,123.800 €,,,,"44,40 m²",2-sobno,2018,Prodam,"Podravska, Rače, Rače",V večstanovanjski stavbi,2.,3,,,,Skupna cena,06.09.2022. ob 16:11,Št. dni: 21 in 19 h,513 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-race-47.4-m2-oglas-9922099,9922099,Popolnoma opremljeno,1,,"47,40 m²",B2 (25 - 35 kWh/m2a),
195,375.000 €,,,,"65,30 m²",2-sobno,2014,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",,6.,10,,,,Skupna cena,06.09.2022. ob 15:34,do prodaje,1536 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-eko-srebrna-hisa-65.00-m2-oglas-9921937,9921937,,,,,A1 (0 - 10 kWh/m2a),R144
196,115.000 €,,,,"72,60 m²",2-sobno,1954,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,1.,,2009,Balkon,,Skupna cena,06.09.2022. ob 15:08,Št. dni: 21 in 17 h,10022 -krat,https://www.bolha.com/nepremicnine/stanovanje-podravska-ptuj-ptuj-ptuj-2-sobno-82.56-m2-prodam-oglas-2399163,2399163,,2,Možna menjava za drugo nepremičnino,"82,56 m²",C (35 - 60 kWh/m2a),74
197,196.000 €,,,,,"2,5-sobno",1976,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,2.,6,2016,Loža,,Skupna cena,06.09.2022. ob 13:52,Št. dni: 21 in 16 h,8586 -krat,https://www.bolha.com/nepremicnine/stanovanje-podravska-maribor-center-koroska-vrata-2.5-sobno-6-oglas-1451794,1451794,Delno opremljeno,,,"73,45 m²",EI v izdelavi,
198,312.000 €,,,,"52,00 m²",2-sobno,1962,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",V večstanovanjski stavbi,12.,12,2012,,,Skupna cena,06.09.2022. ob 11:35,Št. dni: 21 in 14 h,3473 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-center-52.00-m2-oglas-9920828,9920828,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,,,
199,150.000 €,,,,"45,42 m²","2,5-sobno",1962,Prodam,"Savinjska, Celje, Kajuh",V večstanovanjski stavbi,4.,5,2017,Balkon,,Skupna cena,06.09.2022. ob 11:24,Št. dni: 29 in 11 h,9906 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-otoku-46.00-m2-oglas-9662871,9662871,Popolnoma opremljeno,2,,"48,69 m²",,
200,180.000 €,,,,"93,50 m²",4-sobno,1600,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,1.,1,2017,Balkon,Vrt/dvorišče,Skupna cena,06.09.2022. ob 10:05,Št. dni: 21 in 12 h,1569 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-center-93.00-m2-koroska-cesta-oglas-9920356,9920356,Popolnoma opremljeno,2,,,,
201,280.000 €,,,,"71,50 m²",3-sobno,1950,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška",,1.,3,2014,,,Skupna cena,06.09.2022. ob 09:37,do prodaje,851 -krat,https://www.bolha.com/nepremicnine/ljubljana-zgornja-siska-71.00-m2-oglas-9920230,9920230,,,,,,R143
202,195.000 €,,,,"48,91 m²","2,5-sobno",1997,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Zalog",V večstanovanjski stavbi,2.,2,,Balkon,,Skupna cena,06.09.2022. ob 07:42,Št. dni: 21 in 10 h,136 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-zalog-48.91-m2-oglas-9763480,9763480,Popolnoma opremljeno,,Možna menjava za drugo nepremičnino,"55,00 m²",D (101 do 150 kWh/m2a) - HR,
203,627.000 €,,,,,3-sobno,2002,Prodam,"Osrednjeslovenska, Ljubljana Center, Stara Ljubljana",,,,,,,Skupna cena,06.09.2022. ob 00:16,do prodaje,119 -krat,https://www.bolha.com/nepremicnine/cudovito-3-sobno-stanovanje-koseze-mostec-oglas-9918829,9918829,,2,,,C (35 - 60 kWh/m2a),490191094-106
204,310.000 €,,,,,3-sobno,1936,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",,,2,,,Vrt/dvorišče,Skupna cena,06.09.2022. ob 00:16,do prodaje,100 -krat,https://www.bolha.com/nepremicnine/3.5-sobno-stanovanje-oglas-9918828,9918828,,,,,,490191069-109
205,60.000 €,,,,"46,00 m²",2-sobno,1950,Prodam,"Savinjska, Rogatec, Rogatec",V večstanovanjski stavbi,1.,2,2015,Balkon,Lopa za shranjevanje,Skupna cena,05.09.2022. ob 21:18,Št. dni: 21,227 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-rogatec-46.00-m2-oglas-9918435,9918435,Delno opremljeno,,,"60,00 m²",,
